player,pid,pos,pick,eff,draftyr,typ,by,Y,age,horizon,nqf,pred_fwd,real_fwd,pred_ev,pred_val,real_val,resid_fwd,resid_val,active
Bailey Rice,140498199166656,GEN_DEF,49,49,2015,ND,1997,2015,18.0,11,1,56.58173332772537,54.8,9.0,444.00000000000006,0.0,1.7817333277253695,444.00000000000006,0
Bailey Rice,140498199166656,GEN_DEF,49,49,2015,ND,1997,2016,19.0,10,1,66.92032373667642,54.8,9.0,543.34,0.0,12.120323736676426,543.34,0
Bailey Rice,140498199166656,GEN_DEF,49,49,2015,ND,1997,2017,20.0,9,1,63.54852539892313,54.8,9.0,428.80000000000007,0.0,8.748525398923135,428.80000000000007,0
Bailey Rice,140498199166656,GEN_DEF,49,49,2015,ND,1997,2018,21.0,8,1,69.38394631671957,54.8,9.0,431.24000000000007,1.0,14.583946316719576,430.24000000000007,1
Oleg Markov,140498197119232,GEN_DEF,50,50,2015,ND,1996,2015,19.0,11,8,66.71520563022642,69.33333333333333,11.0,543.1600000000001,15.0,-2.6181277031069072,528.1600000000001,0
Oleg Markov,140498197119232,GEN_DEF,50,50,2015,ND,1996,2016,20.0,10,8,69.77408521034913,69.33333333333333,11.0,533.7600000000001,21.0,0.4407518770157992,512.7600000000001,1
Oleg Markov,140498197119232,GEN_DEF,50,50,2015,ND,1996,2017,21.0,9,7,62.300088469699766,69.33333333333333,11.0,220.80000000000004,19.0,-7.033244863633563,201.80000000000004,1
Oleg Markov,140498197119232,GEN_DEF,50,50,2015,ND,1996,2018,22.0,8,6,57.423463244217686,69.33333333333333,11.0,101.58000000000001,21.0,-11.909870089115643,80.58000000000001,0
Oleg Markov,140498197119232,GEN_DEF,50,50,2015,ND,1996,2019,23.0,7,6,54.931157884056454,69.33333333333333,11.0,41.06,24.0,-14.402175449276875,17.060000000000002,0
Oleg Markov,140498197119232,GEN_DEF,50,50,2015,ND,1996,2020,24.0,6,6,59.94311741924482,69.33333333333333,11.0,54.30000000000001,26.0,-9.390215914088508,28.30000000000001,1
Oleg Markov,140498197119232,GEN_DEF,50,50,2015,ND,1996,2021,25.0,5,5,68.94548274564298,65.8,11.0,363.76000000000005,78.0,3.1454827456429797,285.76000000000005,1
Oleg Markov,140498197119232,GEN_DEF,50,50,2015,ND,1996,2022,26.0,4,4,67.25731339726111,56.199999999999996,11.0,246.48000000000002,60.0,11.057313397261119,186.48000000000002,1
Oleg Markov,140498197119232,GEN_DEF,50,50,2015,ND,1996,2023,27.0,3,3,57.196327112708765,43.96666666666667,11.0,15.680000000000001,5.0,13.229660446042097,10.680000000000001,1
Tyrone Leonardis,140498197120192,GEN_DEF,51,51,2015,ND,1997,2015,18.0,11,0,56.02071832111501,0.0,9.0,441.4800000000001,0.0,56.02071832111501,441.4800000000001,0
Mackenzie Willis,140498197120512,GEN_DEF,52,52,2015,ND,1995,2015,20.0,11,0,61.92805340595311,39.3,8.0,406.6000000000001,0.0,22.62805340595311,406.6000000000001,0
Mackenzie Willis,140498197120512,GEN_DEF,52,52,2015,ND,1995,2016,21.0,10,0,56.81788600098188,39.3,8.0,180.16000000000003,0.0,17.517886000981882,180.16000000000003,0
Mackenzie Willis,140498197120512,GEN_DEF,52,52,2015,ND,1995,2017,22.0,9,0,53.70444657884514,37.5,8.0,44.220000000000006,0.0,16.204446578845143,44.220000000000006,0
Jack Silvagni,140498197121024,KEY_DEF,53,53,2015,ND,1997,2015,18.0,11,9,54.03621780841157,74.2,465.0,467.9600000000001,397.0,-20.16378219158843,70.9600000000001,0
Jack Silvagni,140498197121024,KEY_DEF,53,53,2015,ND,1997,2016,19.0,10,9,68.37027708953788,74.2,829.0,826.7200000000001,448.0,-5.829722910462124,378.72000000000014,1
