key,Y,type,pos,age,games,tenure,peak_fwd,dv_fwd,pred_raw,b4,b2,b5_raw,b5_tap,asc,in_trainpool,pickless
billy-longer,2012,ND,RUCK,19.0,5,1,70.57,60.7,115.06,94.13,73.42,115.06,115.06,1.0,1,0
billy-longer,2013,ND,RUCK,20.0,9,2,70.57,69.2,113.94,91.8,69.43,113.94,113.94,1.0,1,0
billy-longer,2014,ND,RUCK,21.0,25,3,70.57,76.1,118.09,97.02,82.71,118.09,113.84,0.88,1,0
billy-longer,2015,ND,RUCK,22.0,43,4,73.2,79.4,116.06,94.28,84.78,116.06,108.56,0.76,1,0
billy-longer,2016,ND,RUCK,23.0,43,5,78.1,90.6,115.59,90.99,78.14,115.59,103.23,0.67,1,0
billy-longer,2017,ND,RUCK,24.0,60,6,78.1,0.1,112.81,95.19,86.56,112.81,101.79,0.58,1,0
billy-longer,2018,ND,RUCK,25.0,65,7,57.0,0.0,103.41,85.11,68.49,103.41,86.65,0.52,1,0
billy-longer,2019,ND,RUCK,26.0,66,8,57.0,0.0,100.26,83.61,66.34,100.26,81.94,0.46,1,0
jeremy-cameron,2011,ND,KPF,18.0,0,0,89.97,2026.9,88.69,80.28,52.12,88.69,88.69,1.0,1,0
jeremy-cameron,2012,ND,KPF,19.0,16,1,89.97,2269.4,105.81,96.83,81.15,105.81,105.81,1.0,1,0
jeremy-cameron,2013,ND,KPF,20.0,37,2,89.97,2331.5,104.97,100.78,93.49,104.97,104.97,1.0,1,0
jeremy-cameron,2014,ND,KPF,21.0,51,3,89.97,2650.8,102.81,96.5,87.72,102.81,101.0,0.88,1,0
jeremy-cameron,2015,ND,KPF,22.0,73,4,89.97,2717.4,99.27,93.9,86.42,99.27,96.2,0.761,1,0
jeremy-cameron,2016,ND,KPF,23.0,93,5,89.97,2900.0,95.17,91.51,81.94,95.17,90.8,0.67,1,0
jeremy-cameron,2017,ND,KPF,24.0,112,6,89.97,2662.1,102.71,101.14,90.33,102.71,98.62,0.67,1,0
