# 270a2c5f (ACT-2 baseline) -> 01c3645d (unpl_eq on v2)  (RL_PVC2=1 board)
# board md5: 270a2c5f -> 01c3645d
# unpl_eq consumer -> _PVC2M; reorders via proj_value sort; displayed v (ev) unchanged
# V-PARITY (displayed v, keyed): 0 movers  => HOLDS (no shipped v moved)
# RANK movers: 469 of 804 active

casc  Tyler Sonsie               #236 -> #259 ( +23)  v=1268 ty=ND  pk=28  unpl=False
REAL  Elijah Tsatas              #237 -> #260 ( +23)  v=1402 ty=ND  pk=5   unpl=False
casc  Joshua Kelly               #238 -> #261 ( +23)  v=617  ty=ND  pk=2   unpl=False
casc  Ben Miller                 #242 -> #265 ( +23)  v=1223 ty=ND  pk=62  unpl=False
casc  James Peatling             #243 -> #266 ( +23)  v=1378 ty=MSD pk=8   unpl=False
REAL  Jack Dalton                #244 -> #221 ( -23)  v=576  ty=ND  pk=34  unpl=False
casc  Oliver Florent             #245 -> #268 ( +23)  v=900  ty=ND  pk=11  unpl=False
casc  Sam Banks                  #246 -> #269 ( +23)  v=1302 ty=ND  pk=29  unpl=False
casc  Toby Conway                #254 -> #277 ( +23)  v=562  ty=ND  pk=24  unpl=False
REAL  Jack Whitlock              #255 -> #278 ( +23)  v=1268 ty=ND  pk=33  unpl=False
REAL  Jacob Konstanty            #456 -> #479 ( +23)  v=237  ty=ND  pk=20  unpl=False
casc  Sam Draper                 #465 -> #488 ( +23)  v=944  ty=RD  pk=1   unpl=False
REAL  Tom Gross                  #466 -> #489 ( +23)  v=590  ty=ND  pk=46  unpl=False
casc  Jack Darling               #467 -> #490 ( +23)  v=367  ty=ND  pk=34  unpl=False
REAL  Jobe Shanahan              #233 -> #255 ( +22)  v=1588 ty=ND  pk=30  unpl=False
REAL  Thomas Sims                #257 -> #279 ( +22)  v=1083 ty=ND  pk=28  unpl=False
REAL  Harry Rowston              #469 -> #491 ( +22)  v=614  ty=ND  pk=16  unpl=False
casc  Bradley Hill               #228 -> #249 ( +21)  v=811  ty=ND  pk=45  unpl=False
REAL  Lachlan Blakiston          #259 -> #280 ( +21)  v=16   ty=MSD pk=13  unpl=False
casc  Karl Amon                  #260 -> #281 ( +21)  v=816  ty=ND  pk=59  unpl=False
REAL  Shaun Mannagh              #270 -> #291 ( +21)  v=511  ty=ND  pk=36  unpl=False
casc  Elliot Yeo                 #271 -> #292 ( +21)  v=703  ty=ND  pk=38  unpl=False
REAL  Ollie Murphy               #311 -> #290 ( -21)  v=289  ty=ND  pk=41  unpl=False
casc  Archie Perkins             #262 -> #282 ( +20)  v=286  ty=ND  pk=9   unpl=False
REAL  Riley Bice                 #264 -> #284 ( +20)  v=473  ty=ND  pk=41  unpl=False
casc  Massimo D'Ambrosio         #265 -> #285 ( +20)  v=1670 ty=MSD pk=3   unpl=False
REAL  Luke Lloyd                 #315 -> #295 ( -20)  v=284  ty=ND  pk=42  unpl=False
REAL  Milan Murdock              #227 -> #246 ( +19)  v=919  ty=SSP pk=None unpl=False
REAL  Xavier Taylor              #118 -> #100 ( -18)  v=938  ty=ND  pk=11  unpl=False
