# 270a2c5f (ACT-2 baseline) -> 06d8af60 (all consumers on v2)  (RL_PVC2=1 board)
# board md5: 270a2c5f -> 06d8af60
# CUMULATIVE value()/rank/pick-equiv umbrella; real=own proj_value moved, casc=displaced
# V-PARITY (displayed v, keyed): 0 movers  => HOLDS (no shipped v moved)
# RANK movers: 697 of 804 active

casc  Blake Hardwick             #492 -> #546 ( +54)  v=450  ty=ND  pk=44  unpl=False
REAL  Harry Armstrong            #249 -> #196 ( -53)  v=877  ty=ND  pk=23  unpl=False
REAL  Aidan Schubert             #252 -> #200 ( -52)  v=693  ty=ND  pk=23  unpl=True
REAL  Kye Fincher                #362 -> #310 ( -52)  v=516  ty=ND  pk=52  unpl=True
REAL  Ben Murphy                 #424 -> #372 ( -52)  v=277  ty=IRE pk=None unpl=False
REAL  Kobe McDonald              #425 -> #373 ( -52)  v=277  ty=IRE pk=None unpl=False
REAL  Indy Cotton                #426 -> #374 ( -52)  v=277  ty=UNR pk=None unpl=False
REAL  Oscar Berry                #427 -> #375 ( -52)  v=120  ty=UNR pk=None unpl=False
REAL  Patrick Carr               #428 -> #376 ( -52)  v=620  ty=UNR pk=None unpl=False
REAL  Cillian Bourke             #429 -> #377 ( -52)  v=380  ty=IRE pk=None unpl=False
REAL  Riak Andrew                #430 -> #378 ( -52)  v=336  ty=ND  pk=55  unpl=True
REAL  George Stevens             #539 -> #487 ( -52)  v=353  ty=ND  pk=58  unpl=False
casc  Ben Ainsworth              #554 -> #606 ( +52)  v=278  ty=ND  pk=4   unpl=False
REAL  Louis Emmett               #211 -> #160 ( -51)  v=917  ty=ND  pk=27  unpl=False
REAL  Harley Barker              #253 -> #202 ( -51)  v=753  ty=ND  pk=24  unpl=True
REAL  Luke Beecken               #468 -> #417 ( -51)  v=35   ty=MSD pk=17  unpl=False
REAL  River Stevens              #484 -> #433 ( -51)  v=193  ty=ND  pk=67  unpl=True
REAL  Cameron Nairn              #214 -> #165 ( -49)  v=798  ty=ND  pk=20  unpl=False
REAL  Eamonn Armstrong           #471 -> #422 ( -49)  v=165  ty=IRE pk=None unpl=False
REAL  Cillian Burke              #472 -> #423 ( -49)  v=118  ty=IRE pk=None unpl=False
REAL  Matt Duffy                 #473 -> #424 ( -49)  v=187  ty=IRE pk=None unpl=False
REAL  Zak Evans                  #474 -> #425 ( -49)  v=8    ty=UNR pk=None unpl=False
REAL  Matt Hill                  #475 -> #426 ( -49)  v=133  ty=UNR pk=None unpl=False
REAL  Ricky Mentha               #476 -> #427 ( -49)  v=137  ty=PDN pk=None unpl=False
REAL  Benny Barrett              #477 -> #428 ( -49)  v=137  ty=PDN pk=None unpl=False
REAL  Keighton Matofai-Forbes    #485 -> #436 ( -49)  v=273  ty=ND  pk=69  unpl=True
REAL  Calsher Dear               #499 -> #450 ( -49)  v=973  ty=ND  pk=56  unpl=False
REAL  Jack Watkins               #542 -> #493 ( -49)  v=2    ty=RD  pk=3   unpl=False
casc  Darcy Moore                #558 -> #607 ( +49)  v=257  ty=ND  pk=8   unpl=False
casc  Mabior Chol                #559 -> #608 ( +49)  v=341  ty=RD  pk=26  unpl=False
REAL  Luke Trainor               #219 -> #171 ( -48)  v=1413 ty=ND  pk=21  unpl=False
REAL  Mitchell Marsh             #241 -> #193 ( -48)  v=698  ty=ND  pk=22  unpl=True
REAL  Wil Dawson                 #302 -> #254 ( -48)  v=498  ty=ND  pk=22  unpl=False
REAL  Jed Adams                  #354 -> #402 ( +48)  v=273  ty=ND  pk=38  unpl=False
REAL  Finnegan Davis             #355 -> #307 ( -48)  v=464  ty=ND  pk=51  unpl=True
casc  Zachary Williams           #562 -> #610 ( +48)  v=244  ty=PDA pk=None unpl=False
REAL  Darcy Jones                #297 -> #250 ( -47)  v=1628 ty=ND  pk=21  unpl=False
REAL  Christian Moraes           #336 -> #383 ( +47)  v=926  ty=ND  pk=38  unpl=False
REAL  Charlie Banfield           #346 -> #393 ( +47)  v=818  ty=ND  pk=41  unpl=False
REAL  Asher Eastham              #479 -> #432 ( -47)  v=204  ty=RD  pk=8   unpl=True
REAL  Jasper Alger               #551 -> #504 ( -47)  v=330  ty=ND  pk=58  unpl=False
REAL  Adam Sweid                 #256 -> #210 ( -46)  v=645  ty=ND  pk=25  unpl=True
