# 01c3645d (unpl_eq) -> 06d8af60 (pedestal on v2)  (RL_PVC2=1 board)
# board md5: 01c3645d -> 06d8af60
# pedestal consumer -> _PVC2M; reorders played+unplayed via proj_value sort; v unchanged
# V-PARITY (displayed v, keyed): 0 movers  => HOLDS (no shipped v moved)
# RANK movers: 688 of 804 active

REAL  Will McLachlan             #631 -> #598 ( -33)  v=170  ty=MSD pk=6   unpl=False
REAL  Liam Reidy                 #638 -> #605 ( -33)  v=298  ty=RD  pk=5   unpl=False
REAL  Archer Day-Wicks           #558 -> #526 ( -32)  v=343  ty=RD  pk=2   unpl=False
casc  Miles Bergman              #592 -> #624 ( +32)  v=795  ty=ND  pk=14  unpl=False
REAL  Sandy Brock                #665 -> #633 ( -32)  v=331  ty=PDA pk=None unpl=False
REAL  Max Michalanney            #420 -> #389 ( -31)  v=569  ty=ND  pk=17  unpl=False
casc  Harrison Himmelberg        #471 -> #502 ( +31)  v=443  ty=ND  pk=16  unpl=False
REAL  Jacob Konstanty            #479 -> #448 ( -31)  v=237  ty=ND  pk=20  unpl=False
REAL  Ryan Maric                 #534 -> #503 ( -31)  v=1357 ty=MSD pk=1   unpl=False
REAL  Chris Scerri               #553 -> #522 ( -31)  v=331  ty=SSP pk=None unpl=False
REAL  Dante Visentini            #650 -> #619 ( -31)  v=914  ty=ND  pk=56  unpl=False
REAL  Zane Duursma               #192 -> #162 ( -30)  v=736  ty=ND  pk=4   unpl=False
casc  Keidean Coleman            #470 -> #500 ( +30)  v=885  ty=ND  pk=37  unpl=False
casc  Noah Balta                 #596 -> #626 ( +30)  v=413  ty=ND  pk=25  unpl=False
REAL  Tom Hanily                 #621 -> #591 ( -30)  v=165  ty=MSD pk=14  unpl=False
REAL  Taj Hotton                 #213 -> #184 ( -29)  v=2071 ty=ND  pk=12  unpl=False
REAL  Tom Gross                  #489 -> #460 ( -29)  v=590  ty=ND  pk=46  unpl=False
REAL  Toby Murray                #628 -> #599 ( -29)  v=272  ty=MSD pk=7   unpl=False
REAL  Josh Draper                #632 -> #603 ( -29)  v=621  ty=PDN pk=None unpl=False
REAL  Oscar Steene               #640 -> #611 ( -29)  v=344  ty=SSP pk=None unpl=False
REAL  Robert Hansen              #660 -> #631 ( -29)  v=162  ty=MSD pk=2   unpl=False
REAL  Jack Buller                #661 -> #632 ( -29)  v=77   ty=MSD pk=13  unpl=False
REAL  Jackson Archer             #682 -> #653 ( -29)  v=75   ty=ND  pk=59  unpl=False
casc  Jake Riccardi              #466 -> #494 ( +28)  v=403  ty=ND  pk=51  unpl=False
casc  Tom Barrass                #468 -> #496 ( +28)  v=477  ty=ND  pk=43  unpl=False
casc  Tanner Bruhn               #469 -> #497 ( +28)  v=1386 ty=ND  pk=12  unpl=False
REAL  Matt Carroll               #536 -> #508 ( -28)  v=950  ty=RD  pk=8   unpl=False
REAL  Judd McVee                 #637 -> #609 ( -28)  v=270  ty=RD  pk=11  unpl=False
REAL  Shadeau Brain              #644 -> #616 ( -28)  v=81   ty=PDA pk=None unpl=False
REAL  Will Edwards               #648 -> #620 ( -28)  v=241  ty=PDA pk=None unpl=False
REAL  Phoenix Gothard            #203 -> #176 ( -27)  v=410  ty=ND  pk=12  unpl=False
REAL  Liam Fawcett               #486 -> #459 ( -27)  v=548  ty=ND  pk=43  unpl=False
REAL  Cooper Lord                #556 -> #529 ( -27)  v=393  ty=MSD pk=9   unpl=False
