key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
luke-mcdonald,Luke McDonald,North Melbourne,Geelong Cats,Def,17,18,PLAYED,69.0,53,53,0,0.0,717,716,1,154,154,0
luke-nankervis,Luke Nankervis,Adelaide,Western Bulldogs,Def,17,18,PLAYED,76.0,315,314,-1,-0.32,477,480,-3,101,102,-1
luke-parker,Luke Parker,North Melbourne,North Melbourne Kangaroos,Def,17,18,PLAYED,106.0,1769,1777,8,0.45,135,137,-2,28,27,1
luke-pedlar,Luke Pedlar,Adelaide,Essendon Bombers,Fwd,17,18,DNP,DNP,142,142,0,0.0,624,624,0,119,117,2
luke-ryan,Luke Ryan,Fremantle,West Coast Eagles,Def,17,18,PLAYED,65.0,1648,1485,-163,-9.89,149,166,-17,32,34,-2
luke-trainor,Luke Trainor,Richmond,Carlton Blues,Key Def,17,18,DNP,DNP,1418,1424,6,0.42,173,171,2,14,14,0
luke-urquhart,Luke Urquhart,North Melbourne,Melbourne Demons,Mid,17,18,DNP,DNP,278,273,-5,-1.8,506,507,-1,153,152,1
luker-kentfield,Luker Kentfield,Melbourne,Carlton Blues,Key Fwd,17,18,DNP,DNP,385,358,-27,-7.01,428,441,-13,55,58,-3
mabior-chol,Mabior Chol,Hawthorn,Collingwood Magpies,Key Fwd,17,18,PLAYED,61.0,440,431,-9,-2.05,404,406,-2,52,53,-1
mac-andrew,Mac Andrew,Gold Coast,Western Bulldogs,Key Def,17,18,PLAYED,82.0,3941,3966,25,0.63,29,30,-1,1,2,-1
malakai-champion,Malakai Champion,West Coast,Melbourne Demons,Fwd,17,18,DNP,DNP,324,325,1,0.31,466,468,-2,69,70,-1
malcolm-rosas,Malcolm Rosas,Sydney,Melbourne Demons,Fwd,17,18,DNP,DNP,52,52,0,0.0,720,719,1,156,155,1
mani-liddy,Mani Liddy,Port Adelaide,North Melbourne Kangaroos,Mid,17,18,DNP,DNP,45,42,-3,-6.67,737,740,-3,187,186,1
marc-pittonet,Marc Pittonet,Carlton,Sydney Swans,Ruck,17,18,DNP,DNP,563,568,5,0.89,343,343,0,34,34,0
marcus-bontempelli,Marcus Bontempelli,Western Bulldogs,West Coast Eagles,Mid,17,18,PLAYED,152.0,3769,4022,253,6.71,33,27,6,20,18,2
marcus-herbert,Marcus Herbert,West Coast,Essendon Bombers,Def,17,18,PLAYED,86.0,55,181,126,229.09,716,591,125,153,125,28
