key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
jed-walter,Jed Walter,Gold Coast,Melbourne Demons,Key Fwd,18,19,PLAYED,13.0,1414,1167,-247,-17.47,175,205,-30,20,23,-3
nick-blakey,Nick Blakey,Sydney,Collingwood Magpies,Def,18,19,PLAYED,92.0,4015,4092,77,1.92,28,26,2,3,3,0
sam-flanders,Sam Flanders,St Kilda,Adelaide Crows,Def,18,19,DNP,DNP,2077,2088,11,0.53,111,115,-4,22,22,0
shai-bolton,Shai Bolton,Fremantle,St Kilda Saints,Fwd,18,19,DNP,DNP,2391,2394,3,0.13,84,85,-1,9,9,0
daniel-annable,Daniel Annable,Brisbane,Fremantle Dockers,Mid,18,19,DNP,DNP,2059,2062,3,0.15,116,117,-1,56,57,-1
bailey-dale,Bailey Dale,Western Bulldogs,Geelong Cats,Def,18,19,DNP,DNP,2364,2377,13,0.55,86,87,-1,14,13,1
lachie-neale,Lachie Neale,Brisbane,Sydney Swans,Mid,18,19,PLAYED,135.0,2261,2392,131,5.79,94,86,8,49,47,2
sid-draper,Sid Draper,Adelaide,Melbourne Demons,Mid,18,19,DNP,DNP,1179,1183,4,0.34,206,204,2,83,84,-1
joel-freijah,Joel Freijah,Western Bulldogs,Western Bulldogs,Mid,18,19,PLAYED,53.0,2678,2535,-143,-5.34,68,79,-11,40,44,-4
izak-rankine,Izak Rankine,Adelaide,Geelong Cats,Fwd,18,19,PLAYED,120.0,2850,2941,91,3.19,64,63,1,5,6,-1
josh-battle,Josh Battle,St Kilda,West Coast Eagles,Key Def,18,19,PLAYED,124.0,2162,2241,79,3.65,103,98,5,6,7,-1
josh-rachele,Josh Rachele,Adelaide,Fremantle Dockers,Fwd,18,19,PLAYED,91.0,2071,2194,123,5.94,113,101,12,14,13,1
christian-petracca,Christian Petracca,Gold Coast,West Coast Eagles,Mid,18,19,PLAYED,70.0,2334,2194,-140,-6.0,89,100,-11,48,50,-2
lachie-whitfield,Lachie Whitfield,GWS,North Melbourne Kangaroos,Def,18,19,PLAYED,102.0,2269,2266,-3,-0.13,92,95,-3,17,19,-2
jacob-farrow,Jacob Farrow,Essendon,Fremantle Dockers,Def,18,19,PLAYED,83.0,2464,2545,81,3.29,77,77,0,11,11,0
harvey-langford,Harvey Langford,Melbourne,Fremantle Dockers,Mid,18,19,PLAYED,93.0,2410,2450,40,1.66,81,82,-1,47,46,1
jack-ginnivan,Jack Ginnivan,Collingwood,North Melbourne Kangaroos,Fwd,18,19,DNP,DNP,2300,2303,3,0.13,91,91,0,10,10,0
callum-mills,Callum Mills,Sydney,Collingwood Magpies,Def,18,19,PLAYED,133.0,2124,2301,177,8.33,108,92,16,21,16,5
max-hall,Max Hall,St Kilda,Western Bulldogs,Fwd,18,19,PLAYED,87.0,2726,2777,51,1.87,66,68,-2,7,7,0
john-noble,John Noble,Gold Coast,Sydney Swans,Def,18,19,PLAYED,111.0,2381,2427,46,1.93,85,83,2,13,12,1
toby-nankervis,Toby Nankervis,Richmond,West Coast Eagles,Ruck,18,19,PLAYED,103.0,2182,2182,0,0.0,102,104,-2,8,9,-1
sam-durham,Sam Durham,Essendon,West Coast Eagles,Mid,18,19,PLAYED,113.0,2429,2574,145,5.97,79,75,4,45,42,3
wayne-milera,Wayne Milera,Adelaide,Sydney Swans,Def,18,19,PLAYED,121.0,1919,2025,106,5.52,127,121,6,25,23,2
jacob-van-rooyen,Jacob Van Rooyen,Melbourne,Essendon Bombers,Key Fwd,18,19,PLAYED,66.0,1941,1978,37,1.91,125,125,0,9,9,0
alix-tauru,Alix Tauru,St Kilda,Western Bulldogs,Key Def,18,19,DNP,DNP,1498,1504,6,0.4,165,168,-3,13,13,0
nicholas-martin,Nicholas Martin,Essendon,Melbourne Demons,Mid,18,19,DNP,DNP,3663,3681,18,0.49,41,40,1,24,23,1
mitch-georgiades,Mitch Georgiades,Port Adelaide,North Melbourne Kangaroos,Key Fwd,18,19,DNP,DNP,1474,1479,5,0.34,170,170,0,19,18,1
mitchito-owens,Mitchito Owens,St Kilda,Western Bulldogs,Key Fwd,18,19,PLAYED,32.0,2239,2006,-233,-10.41,96,122,-26,7,8,-1
jye-amiss,Jye Amiss,Fremantle,Collingwood Magpies,Key Fwd,18,19,PLAYED,115.0,1070,1361,291,27.2,220,187,33,27,20,7
xavier-taylor,Xavier Taylor,Melbourne,Richmond Tigers,Def,18,19,DNP,DNP,939,941,2,0.21,237,246,-9,49,50,-1
jase-burgoyne,Jase Burgoyne,Port Adelaide,Essendon Bombers,Def,18,19,PLAYED,101.0,2213,2280,67,3.03,99,94,5,19,18,1
jack-ross,Jack Ross,Richmond,Collingwood Magpies,Mid,18,19,DNP,DNP,2230,2241,11,0.49,97,97,0,50,49,1
connor-idun,Connor Idun,GWS,North Melbourne Kangaroos,Def,18,19,PLAYED,111.0,2218,2299,81,3.65,98,93,5,18,17,1
josh-daicos,Josh Daicos,Collingwood,Brisbane Lions,Def,18,19,PLAYED,75.0,2315,2182,-133,-5.75,90,103,-13,16,20,-4
logan-mcdonald,Logan McDonald,Sydney,Essendon Bombers,Key Fwd,18,19,PLAYED,34.0,813,727,-86,-10.58,272,300,-28,35,37,-2
jordan-de-goey,Jordan De Goey,Collingwood,North Melbourne Kangaroos,Fwd,18,19,PLAYED,92.0,1768,1775,7,0.4,143,141,2,16,16,0
harris-andrews,Harris Andrews,Brisbane,Collingwood Magpies,Key Def,18,19,PLAYED,122.0,1774,1870,96,5.41,141,134,7,10,9,1
sam-cumming,Sam Cumming,Richmond,Carlton Blues,Mid,18,19,PLAYED,70.0,2719,2822,103,3.79,67,67,0,39,39,0
james-sicily,James Sicily,Hawthorn,Geelong Cats,Def,18,19,PLAYED,100.0,1740,1763,23,1.32,144,142,2,29,28,1
gryan-miers,Gryan Miers,Geelong,Brisbane Lions,Fwd,18,19,PLAYED,125.0,1917,1972,55,2.87,128,127,1,15,15,0
tobie-travaglia,Tobie Travaglia,St Kilda,Melbourne Demons,Def,18,19,PLAYED,54.0,649,697,48,7.4,316,310,6,66,64,2
george-hewett,George Hewett,Carlton,Port Adelaide Power,Mid,18,19,PLAYED,59.0,2068,1829,-239,-11.56,115,137,-22,55,62,-7
nate-caddy,Nate Caddy,Essendon,Essendon Bombers,Key Fwd,18,19,DNP,DNP,1814,1821,7,0.39,134,138,-4,12,11,1
josh-smillie,Josh Smillie,Richmond,Carlton Blues,Mid,18,19,DNP,DNP,1324,1324,0,0.0,189,190,-1,75,79,-4
luke-parker,Luke Parker,North Melbourne,North Melbourne Kangaroos,Def,18,19,PLAYED,66.0,1777,1666,-111,-6.25,139,148,-9,28,30,-2
lawson-humphries,Lawson Humphries,Geelong,Geelong Cats,Def,18,19,PLAYED,85.0,1852,1946,94,5.08,131,130,1,26,26,0
sullivan-robey,Sullivan Robey,Essendon,Fremantle Dockers,Mid,18,19,PLAYED,71.0,2861,2886,25,0.87,63,66,-3,38,38,0
rowan-marshall,Rowan Marshall,St Kilda,Port Adelaide Power,Ruck,18,19,PLAYED,169.0,1611,1916,305,18.93,151,131,20,13,12,1
patrick-cripps,Patrick Cripps,Carlton,Port Adelaide Power,Mid,18,19,PLAYED,114.0,1621,1702,81,5.0,150,145,5,67,64,3
shannon-neale,Shannon Neale,Geelong,Geelong Cats,Key Fwd,18,19,PLAYED,45.0,2267,2153,-114,-5.03,93,107,-14,6,6,0
samuel-grlj,Samuel Grlj,Richmond,Collingwood Magpies,Mid,18,19,PLAYED,31.0,2126,2122,-4,-0.19,107,109,-2,52,52,0
josh-lindsay,Josh Lindsay,West Coast,St Kilda Saints,Def,18,19,DNP,DNP,2363,2373,10,0.42,87,88,-1,15,14,1
jake-waterman,Jake Waterman,West Coast,West Coast Eagles,Key Fwd,18,19,PLAYED,87.0,1574,1619,45,2.86,157,153,4,17,14,3
hugh-mccluggage,Hugh McCluggage,Brisbane,Western Bulldogs,Mid,18,19,PLAYED,23.0,1785,1576,-209,-11.71,136,158,-22,62,68,-6
jack-steele,Jack Steele,Melbourne,Port Adelaide Power,Mid,18,19,PLAYED,81.0,1727,1650,-77,-4.46,145,150,-5,64,65,-1
nick-madden,Nick Madden,GWS,Hawthorn Hawks,Ruck,18,19,PLAYED,64.0,1509,517,-992,-65.74,163,380,-217,14,35,-21
tom-mccarthy,Tom McCarthy,West Coast,Melbourne Demons,Def,18,19,PLAYED,88.0,1594,1592,-2,-0.13,154,155,-1,30,32,-2
peter-wright,Peter Wright,Essendon,Port Adelaide Power,Key Fwd,18,19,PLAYED,86.0,1781,1820,39,2.19,138,139,-1,14,12,2
tom-powell,Tom Powell,North Melbourne,Carlton Blues,Fwd,18,19,DNP,DNP,2251,2260,9,0.4,95,96,-1,11,11,0
caleb-daniel,Caleb Daniel,North Melbourne,Port Adelaide Power,Def,18,19,PLAYED,104.0,1522,1549,27,1.77,161,162,-1,33,34,-1
thomas-liberatore,Thomas Liberatore,Western Bulldogs,West Coast Eagles,Mid,18,19,DNP,DNP,1723,1731,8,0.46,146,144,2,65,63,2
jonty-faull,Jonty Faull,Richmond,Carlton Blues,Key Fwd,18,19,DNP,DNP,1092,1096,4,0.37,216,212,4,25,24,1
touk-miller,Touk Miller,Gold Coast,Geelong Cats,Mid,18,19,PLAYED,127.0,1361,1583,222,16.31,185,156,29,74,67,7
