key,name,age,pos,b4,b5,inversion
angus-hastie,"Angus Hastie",21,SD,76.051177,90.664457,0
cooper-lord,"Cooper Lord",21,MID,102.776644,111.711532,0
sam-davidson,"Sam Davidson",25,SF,68.671503,72.578012,0
hugh-boxshall,"Hugh Boxshall",20,MID,96.570464,107.035062,0
jamarra-ugle-hagan,"Jamarra Ugle-Hagan",24,KPF,71.827870,76.751544,0
charlie-west,"Charlie West",20,KPF,77.794849,90.509792,0
angus-sheldrick,"Angus Sheldrick",23,MID,95.348740,101.260809,0
max-king-syd,"Maxwell King",19,SF,80.864774,90.251989,0
lukas-cooke,"Lukas Cooke",23,KPD,73.460159,82.445783,0
mitch-podhajski,"Mitch Podhajski",27,KPF,65.194634,70.961459,0
cooper-simpson,"Cooper Simpson",21,SD,76.289735,96.997484,0
archie-may,"Archie May",22,KPF,76.819469,87.875444,0
cooper-bell,"Cooper Bell",20,KPD,82.635204,92.540180,0
brodie-kemp,"Brodie Kemp",25,KPF,72.684734,81.043151,0
flynn-riley,"Flynn Riley",22,RUCK,92.544589,107.209072,0
alex-van-wyk,"Alex Van Wyk",22,RUCK,91.422359,106.572369,0
liam-fawcett,"Liam Fawcett",21,KPF,71.259725,84.599289,0
clay-hall,"Clay Hall",21,MID,95.944074,108.286035,0
anthony-caminiti,"Anthony Caminiti",23,KPF,83.989244,86.901208,0
oliver-griffin,"Oliver Griffin",19,SF,85.191853,97.906020,0
harrison-coe,"Harrison Coe",27,RUCK,82.560431,88.541035,0
caleb-may,"Caleb May",21,RUCK,93.999334,111.336255,0
max-beattie,"Max Beattie",23,SF,66.798047,76.669268,0
max-mapley,"Max Mapley",21,RUCK,93.999334,111.336255,0
harrison-ramm,"Harrison Ramm",20,KPD,84.697256,93.936416,0
peter-ladhams,"Peter Ladhams",28,RUCK,84.892315,92.873178,0
jack-ison,"Jack Ison",19,SF,80.631439,91.057057,0
tom-brown,"Tom Brown",23,SD,86.759121,94.196139,0
harry-rowston,"Harry Rowston",22,MID,92.770997,100.022369,0
adam-saad,"Adam Saad",32,SD,85.805491,94.606221,0
jack-crisp,"Jack Crisp",33,MID,85.933799,97.854600,0
finnegan-davis,"Finnegan Davis",19,SD,85.910510,99.434757,0
tyler-sonsie,"Tyler Sonsie",23,MID,92.910033,95.413034,0
lucca-grego,"Lucca Grego",20,SD,82.042174,97.492250,0
patrick-retschko,"Patrick Retschko",20,MID,106.788998,114.370553,0
caleb-lewis,"Caleb Lewis",23,KPF,71.170183,80.807371,0
jack-lukosius,"Jack Lukosius",26,SF,76.274337,79.514580,0
alex-dodson,"Alex Dodson",20,RUCK,92.286699,107.914292,0
kye-fincher,"Kye Fincher",19,MID,88.896386,106.327928,0
jay-polkinghorne,"Jay Polkinghorne",20,SF,74.022984,88.063241,0
jacob-molier,"Jacob Molier",20,RUCK,92.518425,107.124962,0
matthew-flynn,"Matthew Flynn",29,RUCK,87.824440,97.981034,0
sam-de-koning,"Sam De Koning",25,KPD,79.371684,84.371928,0
hamish-davis,"Hamish Davis",20,MID,98.076566,107.605036,0
noah-howes,"Noah Howes",21,KPF,82.818559,94.995072,0
mason-wood,"Mason Wood",33,SF,81.145287,86.584754,0
vigo-visentini,"Vigo Visentini",21,RUCK,96.168483,111.801597,0
isaiah-dudley,"Isaiah Dudley",23,SF,76.269241,79.497559,0
kalani-white,"Kalani White",19,KPF,97.346264,105.477469,0
noah-chamberlain,"Noah Chamberlain",19,SF,85.191853,97.906020,0
liam-hetherton,"Liam Hetherton",19,KPF,97.346264,105.477469,0
jai-saxena,"Jai Saxena",19,SF,85.191853,97.906020,0
ryda-luke,"Ryda Luke",19,SF,85.191853,97.906020,0
toby-whan,"Toby Whan",19,SF,85.191853,97.906020,0
jesse-mellor,"Jesse Mellor",19,MID,94.858611,112.820363,0
zac-walker,"Zac Walker",20,SD,91.232180,102.535554,0
ben-murphy,"Ben Murphy",19,SD,97.966462,108.907867,0
kobe-mcdonald,"Kobe McDonald",19,SD,97.966462,108.907867,0
indy-cotton,"Indy Cotton",19,SD,97.966462,108.907867,0
scott-pendlebury,"Scott Pendlebury",39,MID,84.597640,102.278628,0
oscar-berry,"Oscar Berry",24,KPD,75.211803,83.355130,0
patrick-carr,"Patrick Carr",21,RUCK,93.999334,111.336255,0
cillian-bourke,"Cillian Bourke",20,SD,91.232180,102.535554,0
