key,name,pk,games,shipped,b0,landed,stage1_storelag_engine,stage2_curve_surface,total,stage2_channel
darcy-parish,"Darcy Parish",5,176,731,559,561,-172,2,-170,ruled_curve
hugo-mikunda,"Hugo Mikunda",48,0,362,204,193,-158,-11,-169,year_zero_lens
james-peatling,"James Peatling",8,80,1469,1297,1300,-172,3,-169,ruled_curve
jedd-busslinger,"Jedd Busslinger",13,11,1048,876,879,-172,3,-169,year_zero_lens
kalani-white,"Kalani White",,0,446,276,277,-170,1,-169,year_zero_lens
willem-drew,"Willem Drew",33,142,736,565,567,-171,2,-169,ruled_curve
blake-hardwick,"Blake Hardwick",44,210,692,524,525,-168,1,-167,ruled_curve
cooper-bell,"Cooper Bell",49,0,329,173,162,-156,-11,-167,year_zero_lens
josh-daicos,"Josh Daicos",57,163,2268,2095,2101,-173,6,-167,ruled_curve
jack-lukosius,"Jack Lukosius",2,127,635,468,469,-167,1,-166,ruled_curve
keidean-coleman,"Keidean Coleman",36,78,920,752,754,-168,2,-166,ruled_curve
brayden-maynard,"Brayden Maynard",30,241,657,491,492,-166,1,-165,ruled_curve
louis-emmett,"Louis Emmett",27,5,970,803,805,-167,2,-165,year_zero_lens
neil-erasmus,"Neil Erasmus",10,51,1065,897,900,-168,3,-165,ruled_curve
charlie-nicholls,"Charlie Nicholls",34,0,373,214,209,-159,-5,-164,year_zero_lens
phoenix-gothard,"Phoenix Gothard",12,13,1963,1794,1799,-169,5,-164,year_zero_lens
jai-serong,"Jai Serong",53,22,1107,941,944,-166,3,-163,year_zero_lens
peter-ladhams,"Peter Ladhams",7,64,706,541,543,-165,2,-163,ruled_curve
ned-long,"Ned Long",3,48,1524,1359,1362,-165,3,-162,ruled_curve
joel-cochran,"Joel Cochran",47,0,333,182,172,-151,-10,-161,year_zero_lens
mitchell-lewis,"Mitchell Lewis",75,90,700,538,539,-162,1,-161,pool_levels
adam-saad,"Adam Saad",19,219,615,454,455,-161,1,-160,ruled_curve
clayton-oliver,"Clayton Oliver",4,218,2636,2470,2476,-166,6,-160,ruled_curve
tobyn-murray,"Tobyn Murray",40,0,412,261,252,-151,-9,-160,year_zero_lens
billy-cootee,"Billy Cootee",42,4,105,275,263,170,-12,158,year_zero_lens
josaia-delana,"Josaia Delana",,7,421,263,263,-158,0,-158,
kayle-gerreyn,"Kayle Gerreyn",37,0,345,193,187,-152,-6,-158,year_zero_lens
miles-bergman,"Miles Bergman",14,110,849,690,692,-159,2,-157,ruled_curve
nick-larkey,"Nick Larkey",72,146,678,520,521,-158,1,-157,pool_levels
jack-crisp,"Jack Crisp",34,286,592,435,436,-157,1,-156,ruled_curve
matt-whitlock,"Matt Whitlock",27,2,609,455,453,-154,-2,-156,year_zero_lens
trent-rivers,"Trent Rivers",32,129,1759,1598,1603,-161,5,-156,ruled_curve
cooper-sharman,"Cooper Sharman",18,83,689,532,534,-157,2,-155,ruled_curve
seth-campbell,"Seth Campbell",3,56,1124,967,970,-157,3,-154,ruled_curve
jhye-clark,"Jhye Clark",8,29,925,770,772,-155,2,-153,year_zero_lens
paul-curtis,"Paul Curtis",35,90,1522,1365,1369,-157,4,-153,ruled_curve
riak-andrew,"Riak Andrew",55,0,300,159,147,-141,-12,-153,year_zero_lens
tom-papley,"Tom Papley",11,207,532,378,379,-154,1,-153,ruled_curve
darcy-jones,"Darcy Jones",21,37,1494,1339,1342,-155,3,-152,ruled_curve
james-barrat,"James Barrat",32,0,391,242,239,-149,-3,-152,year_zero_lens
finn-o-sullivan,"Finn O'Sullivan",2,31,3449,3591,3600,142,9,151,ruled_curve
isaac-quaynor,"Isaac Quaynor",13,145,601,449,450,-152,1,-151,ruled_curve
matthew-leray,"Matthew LeRay",56,0,390,259,239,-131,-20,-151,year_zero_lens
christian-salem,"Christian Salem",9,204,569,418,419,-151,1,-150,ruled_curve
jaren-carr,"Jaren Carr",63,0,218,79,68,-139,-11,-150,year_zero_lens
joshua-kelly,"Joshua Kelly",2,230,549,398,399,-151,1,-150,ruled_curve
karl-amon,"Karl Amon",59,206,561,410,411,-151,1,-150,ruled_curve
liam-baker,"Liam Baker",11,163,571,420,421,-151,1,-150,ruled_curve
noah-balta,"Noah Balta",25,129,569,418,419,-151,1,-150,ruled_curve
zachary-merrett,"Zachary Merrett",26,264,2823,2665,2673,-158,8,-150,ruled_curve
zachary-williams,"Zachary Williams",,183,524,372,374,-152,2,-150,pool_levels
cameron-nairn,"Cameron Nairn",20,2,784,635,635,-149,0,-149,
dion-prestia,"Dion Prestia",9,246,502,352,353,-150,1,-149,ruled_curve
liam-hetherton,"Liam Hetherton",,0,392,243,243,-149,0,-149,
brayden-cook,"Brayden Cook",26,42,1128,977,980,-151,3,-148,ruled_curve
elijah-hollands,"Elijah Hollands",7,47,864,715,716,-149,1,-148,ruled_curve
joshua-weddle,"Joshua Weddle",18,72,1689,1537,1541,-152,4,-148,ruled_curve
justin-mcinerney,"Justin McInerney",44,121,2284,2130,2136,-154,6,-148,ruled_curve
kai-lohmann,"Kai Lohmann",20,66,805,655,657,-150,2,-148,ruled_curve
sam-flanders,"Sam Flanders",11,101,2208,2054,2060,-154,6,-148,ruled_curve
joseph-fonti,"Joseph Fonti",44,34,840,691,693,-149,2,-147,ruled_curve
mason-wood,"Mason Wood",44,168,522,374,375,-148,1,-147,ruled_curve
matthew-flynn,"Matthew Flynn",41,59,689,540,542,-149,2,-147,ruled_curve
christian-petracca,"Christian Petracca",2,222,2702,2550,2556,-152,6,-146,ruled_curve
noah-mraz,"Noah Mraz",35,0,4006,4143,4152,137,9,146,year_zero_lens
jai-newcombe,"Jai Newcombe",2,114,4286,4419,4431,133,12,145,ruled_curve
jacob-van-rooyen,"Jacob Van Rooyen",19,70,1951,1803,1807,-148,4,-144,ruled_curve
max-hall,"Max Hall",4,36,2542,2392,2398,-150,6,-144,ruled_curve
zane-peucker,"Zane Peucker",31,0,633,492,489,-141,-3,-144,year_zero_lens
matthew-roberts,"Matthew Roberts",34,58,2042,1894,1899,-148,5,-143,ruled_curve
jake-soligo,"Jake Soligo",36,95,2164,2017,2022,-147,5,-142,ruled_curve
patrick-voss,"Patrick Voss",5,38,1841,1694,1699,-147,5,-142,ruled_curve
hussien-el-achkar,"Hussien El Achkar",53,4,492,350,351,-142,1,-141,year_zero_lens
max-king-syd,"Maxwell King",49,0,296,165,155,-131,-10,-141,year_zero_lens
scott-pendlebury,"Scott Pendlebury",5,402,484,342,343,-142,1,-141,ruled_curve
james-worpel,"James Worpel",45,154,501,360,362,-141,2,-139,ruled_curve
jordon-sweet,"Jordon Sweet",14,58,2576,2431,2437,-145,6,-139,ruled_curve
xavier-lindsay,"Xavier Lindsay",11,23,2184,2039,2045,-145,6,-139,year_zero_lens
james-borlase,"James Borlase",,23,564,426,427,-138,1,-137,year_zero_lens
logan-evans,"Logan Evans",12,35,1506,1366,1370,-140,4,-136,ruled_curve
massimo-d-ambrosio,"Massimo D'Ambrosio",3,78,1669,1529,1533,-140,4,-136,ruled_curve
cody-anderson,"Cody Anderson",64,0,200,77,65,-123,-12,-135,year_zero_lens
ben-keays,"Ben Keays",24,173,449,315,315,-134,0,-134,
cooper-trembath,"Cooper Trembath",9,15,2140,2000,2006,-140,6,-134,year_zero_lens
levi-ashcroft,"Levi Ashcroft",5,40,3405,3530,3539,125,9,134,ruled_curve
patrick-snell,"Patrick Snell",53,0,251,125,117,-126,-8,-134,year_zero_lens
rory-lobb,"Rory Lobb",29,209,431,296,297,-135,1,-134,ruled_curve
isaac-kako,"Isaac Kako",13,29,1462,1326,1329,-136,3,-133,year_zero_lens
marc-pittonet,"Marc Pittonet",50,91,552,418,419,-134,1,-133,ruled_curve
alex-neal-bullen,"Alex Neal-Bullen",40,212,426,294,294,-132,0,-132,
lawson-humphries,"Lawson Humphries",63,49,1972,1835,1840,-137,5,-132,ruled_curve
sam-banks,"Sam Banks",29,51,1225,1090,1093,-135,3,-132,ruled_curve
joel-jeffrey,"Joel Jeffrey",30,64,2029,1893,1898,-136,5,-131,ruled_curve
mitchito-owens,"Mitchito Owens",33,82,2056,1920,1925,-136,5,-131,ruled_curve
noah-howes,"Noah Howes",14,0,348,217,217,-131,0,-131,
connor-budarick,"Connor Budarick",9,65,409,278,279,-131,1,-130,ruled_curve
reuben-ginbey,"Reuben Ginbey",9,75,2458,2322,2328,-136,6,-130,ruled_curve
cody-curtin,"Cody Curtin",43,4,703,575,574,-128,-1,-129,year_zero_lens
hayden-young,"Hayden Young",7,94,2073,1939,1944,-134,5,-129,ruled_curve
kye-fincher,"Kye Fincher",52,0,401,292,272,-109,-20,-129,year_zero_lens
lachlan-cowan,"Lachlan Cowan",30,49,820,690,691,-130,1,-129,ruled_curve
lewis-hayes,"Lewis Hayes",25,1,379,256,250,-123,-6,-129,year_zero_lens
james-o-donnell,"James O'Donnell",,57,625,495,497,-130,2,-128,pool_levels
marcus-windhager,"Marcus Windhager",47,88,2189,2055,2061,-134,6,-128,ruled_curve
noah-roberts-thomson,"Noah Roberts-Thomson",54,3,469,346,341,-123,-5,-128,year_zero_lens
shannon-neale,"Shannon Neale",35,58,2357,2223,2229,-134,6,-128,ruled_curve
francis-evans,"Francis Evans",40,54,480,352,353,-128,1,-127,ruled_curve
hugh-davies,"Hugh Davies",33,2,314,191,187,-123,-4,-127,year_zero_lens
tom-atkins,"Tom Atkins",7,166,419,291,292,-128,1,-127,ruled_curve
connor-idun,"Connor Idun",61,130,2490,2357,2364,-133,7,-126,ruled_curve
mabior-chol,"Mabior Chol",25,115,397,270,271,-127,1,-126,ruled_curve
brennan-cox,"Brennan Cox",41,145,385,260,260,-125,0,-125,
josh-rachele,"Josh Rachele",6,82,2150,2020,2026,-130,6,-124,ruled_curve
nick-murray,"Nick Murray",,76,448,323,324,-125,1,-124,pool_levels
rhys-unwin,"Rhys Unwin",61,3,203,88,79,-115,-9,-124,year_zero_lens
