name,grp,pick,age,n0,boundary,v0,v1_at_nplus1,delta_SCAR,lvl0,lvl1,par,lvlcurr,proximity,live,on_board
Mitchell Grigg,MID,54,33.0,0,0->1,12,12,0,75.611,73.61,76.88,66.88,completed9,True,False
Nicholas O'Brien,KEY_DEF,74,33.0,0,0->1,13,13,0,64.417,65.784,64.38,69.99,completed9,True,False
Cameron Ellis-Yolmen,MID,78,33.0,3,3->4,11,11,0,70.051,44.501,76.88,68.46,completed9,True,False
Tom Bell,MID,99,35.0,3,3->4,12,12,0,65.529,37.827,76.88,63.4,completed9,True,False
Tom Campbell,RUC,99,35.0,0,0->1,10,10,0,62.784,60.9,72.82,47.56,completed9,True,False
Daniel Gorringe,RUC,11,34.0,0,0->1,23,23,0,72.275,70.032,74.03,62.37,completed9,True,False
Andrew Phillips,RUC,99,35.0,3,3->4,10,10,0,61.697,49.854,72.82,59.7,completed9,True,False
Michael Evans,KEY_FWD,99,34.0,0,0->1,9,9,0,63.045,59.467,64.39,48.35,completed9,True,False
Benjamin Griffiths,KEY_FWD,19,35.0,3,3->4,17,17,0,63.573,64.376,64.98,63.26,completed9,True,False
Trent Dennis-Lane,GEN_FWD,54,38.0,0,0->1,8,8,0,63.941,59.431,67.02,45.16,completed9,True,False
Josh Cowan,GEN_DEF,55,35.0,0,0->1,11,11,0,67.47,65.514,68.41,58.87,completed9,True,False
Aidan Riley,MID,92,35.0,0,0->1,8,8,0,71.42,62.744,76.88,34.53,completed9,True,False
James Strauss,MID,19,36.0,0,0->1,25,25,0,76.731,70.199,80.16,49.58,completed9,True,False
Shaun McKernan,KEY_FWD,28,36.0,3,3->4,15,15,0,53.906,28.789,64.98,50.21,completed9,True,False
Jarrad Redden,RUC,54,36.0,0,0->1,12,12,0,70.872,64.506,72.82,45.15,completed9,True,False
Myke Cook,MID,38,37.0,0,0->1,15,15,0,74.965,67.41,76.88,44.42,completed9,True,False
Kyle Cheney,GEN_DEF,52,37.0,3,3->4,11,11,0,62.962,48.4,68.41,61.88,completed9,True,False
