key,player,pos,base,fix1,absence,both
christian-moraes,Christian Moraes,MID,989,990,989,990
ty-gallop,Ty Gallop,KEY_FWD,1148,1147,1148,1147
hugh-boxshall,Hugh Boxshall,MID,929,930,929,930
archer-day-wicks,Archer Day-Wicks,GEN_FWD,414,413,414,413
isaiah-dudley,Isaiah Dudley,GEN_FWD,83,84,83,84
roan-steele,Roan Steele,MID,14,15,14,15
clay-hall,Clay Hall,MID,606,607,606,607
joel-freijah,Joel Freijah,MID,2224,2223,2224,2223
matt-carroll,Matt Carroll,MID,945,946,945,946
lachie-sullivan,Lachie Sullivan,GEN_FWD,1,2,1,2
jedd-busslinger,Jedd Busslinger,KEY_DEF,735,736,735,736
angus-sheldrick,Angus Sheldrick,MID,803,803,802,802
blake-howes,Blake Howes,GEN_DEF,318,317,318,317
marcus-windhager,Marcus Windhager,MID,1719,1720,1719,1720
nicholas-martin,Nicholas Martin,MID,2857,2858,2857,2858
samson-ryan,Samson Ryan,RUC,611,610,611,610
tom-green,Tom Green,MID,4196,4195,4196,4195
charlie-comben,Charlie Comben,KEY_DEF,728,729,728,729
nick-bryan,Nick Bryan,RUC,814,813,814,813
justin-mcinerney,Justin McInerney,MID,1426,1425,1426,1425
kade-chandler,Kade Chandler,GEN_FWD,990,991,990,991
mark-keane,Mark Keane,KEY_DEF,1561,1562,1561,1562
aaron-naughton,Aaron Naughton,KEY_FWD,1650,1651,1650,1651
ed-richards,Ed Richards,MID,2839,2840,2839,2840
noah-balta,Noah Balta,KEY_FWD,423,424,423,424
changkuoth-jiath,Changkuoth Jiath,GEN_DEF,27,26,27,26
isaac-cumming,Isaac Cumming,GEN_DEF,47,46,47,46
jake-lever,Jake Lever,KEY_DEF,544,545,544,545
jack-steele,Jack Steele,MID,1576,1575,1576,1575
bailey-dale,Bailey Dale,GEN_DEF,1886,1887,1886,1887
caleb-daniel,Caleb Daniel,GEN_DEF,1213,1214,1213,1214
daniel-mcstay,Daniel McStay,KEY_FWD,64,65,64,65
dayne-zorko,Dayne Zorko,GEN_DEF,1083,1082,1083,1082
willem-duursma,Willem Duursma,MID,4339,4339,4339,4339
zeke-uwland,Zeke Uwland,GEN_DEF,2692,2692,2692,2692
harry-dean,Harry Dean,KEY_DEF,2055,2055,2055,2055
cooper-duff-tytler,Cooper Duff-Tytler,KEY_FWD,1834,1834,1834,1834
dylan-patterson,Dylan Patterson,GEN_DEF,978,978,978,978
daniel-annable,Daniel Annable,MID,1986,1986,1986,1986
sam-cumming,Sam Cumming,MID,2146,2146,2146,2146
samuel-grlj,Samuel Grlj,MID,2528,2528,2528,2528
sullivan-robey,Sullivan Robey,MID,2182,2182,2182,2182
jacob-farrow,Jacob Farrow,GEN_DEF,1731,1731,1731,1731
xavier-taylor,Xavier Taylor,GEN_DEF,853,853,853,853
latrelle-pickett,Latrelle Pickett,GEN_FWD,656,656,656,656
dyson-sharp,Dyson Sharp,MID,1671,1671,1671,1671
harry-kyle,Harry Kyle,GEN_DEF,914,914,914,914
oskar-taylor,Oskar Taylor,GEN_DEF,813,813,813,813
lachy-dovaston,Lachy Dovaston,GEN_FWD,918,918,918,918
jai-murray,Jai Murray,MID,1193,1193,1193,1193
beau-addinsall,Beau Addinsall,MID,1105,1105,1105,1105
josh-lindsay,Josh Lindsay,GEN_DEF,1753,1753,1753,1753
cameron-nairn,Cameron Nairn,GEN_FWD,791,791,791,791
lachlan-carmichael,Lachlan Carmichael,GEN_DEF,645,645,645,645
mitchell-marsh,Mitchell Marsh,KEY_FWD,704,704,704,704
aidan-schubert,Aidan Schubert,KEY_FWD,698,698,698,698
harley-barker,Harley Barker,MID,738,738,738,738
adam-sweid,Adam Sweid,GEN_FWD,650,650,650,650
blake-thredgold,Blake Thredgold,KEY_DEF,548,548,548,548
louis-emmett,Louis Emmett,RUC,809,809,809,809
avery-thomas,Avery Thomas,GEN_DEF,554,554,554,554
sam-allen,Sam Allen,MID,815,815,815,815
thomas-matthews,Thomas Matthews,GEN_FWD,587,587,587,587
zane-peucker,Zane Peucker,GEN_FWD,576,576,576,576
tyan-prindable,Tyan Prindable,MID,737,737,737,737
hunter-holmes,Hunter Holmes,MID,715,715,715,715
jack-dalton,Jack Dalton,GEN_FWD,564,564,564,564
jevan-phillipou,Jevan Phillipou,GEN_FWD,530,530,530,530
max-kondogiannis,Max Kondogiannis,GEN_DEF,552,552,552,552
samuel-swadling,Samuel Swadling,MID,643,643,643,643
koby-evans,Koby Evans,GEN_FWD,495,495,495,495
tylah-williams,Tylah Williams,GEN_FWD,484,484,484,484
tobyn-murray,Tobyn Murray,GEN_FWD,455,455,455,455
charlie-banfield,Charlie Banfield,MID,792,792,792,792
billy-cootee,Billy Cootee,MID,87,87,87,87
cody-curtin,Cody Curtin,KEY_FWD,729,729,729,729
tai-hayes,Tai Hayes,GEN_FWD,299,299,299,299
talor-byrne,Talor Byrne,GEN_FWD,544,544,544,544
koby-coulson,Koby Coulson,MID,555,555,555,555
jack-ison,Jack Ison,GEN_FWD,520,520,520,520
hugo-mikunda,Hugo Mikunda,GEN_FWD,395,395,395,395
max-king-syd,Maxwell King,GEN_FWD,267,267,267,267
archie-ludowyke,Archie Ludowyke,KEY_FWD,404,404,404,404
finnegan-davis,Finnegan Davis,GEN_DEF,468,468,468,468
kye-fincher,Kye Fincher,MID,517,517,517,517
hussien-el-achkar,Hussien El Achkar,GEN_FWD,406,406,406,406
