cell,position,draft_age,pick_1,pick_2,pick_3,pick_4,pick_5,pick_6,pick_7,pick_8,pick_9,pick_10,pick_11,pick_12,pick_13,pick_14,pick_15,pick_16,pick_17,pick_18,pick_19,pick_20,pick_21,pick_22,pick_23,pick_24,pick_25,pick_26,pick_27,pick_28,pick_29,pick_30,pick_31,pick_32,pick_33,pick_34,pick_35,pick_36,pick_37,pick_38,pick_39,pick_40,pick_41,pick_42,pick_43,pick_44,pick_45,pick_46,pick_47,pick_48,pick_49,pick_50,pick_51,pick_52,pick_53,pick_54,pick_55,pick_56,pick_57,pick_58,pick_59,pick_60,pick_61,pick_62,pick_63,pick_64
KPF|23,KPF,23,2225.307,2225.307,1938.407,1580.271,1249.043,1115.666,1115.666,1115.666,1115.666,1115.666,1115.666,1115.666,1115.666,1019.395,976.897,976.897,976.897,976.897,976.897,976.897,976.897,924.283,865.331,812.246,766.61,728.841,695.519,665.819,635.981,604.31,572.822,541.634,512.572,487.309,465.724,448.503,433.863,421.707,410.362,399.003,386.052,371.497,356.061,338.93,321.548,305.331,290.19,276.794,265.073,255.711,249.396,240.926,233.229,226.281,218.597,210.901,202.454,193.257,183.314,172.633,161.952,151.277,141.338,132.134
KPF|24,KPF,24,2225.319,2225.319,1938.747,1580.984,1249.716,1134.688,1134.688,1134.688,1134.688,1134.688,1134.688,1134.688,1134.688,1057.417,970.745,970.745,970.745,970.745,956.374,925.808,864.142,801.813,747.567,704.883,671.388,645.251,622.44,601.866,580.088,555.598,530.344,504.565,480.094,458.64,440.215,425.577,413.122,402.817,393.112,383.241,371.706,358.497,344.321,328.394,312.122,296.888,282.621,269.985,258.924,250.119,244.256,236.249,228.968,222.393,215.067,207.704,199.575,190.682,181.029,170.623,160.193,149.748,140.01,130.983
KPF|25,KPF,25,2225.328,2225.328,1938.969,1581.464,1250.214,1155.432,1155.432,1155.432,1155.432,1155.432,1155.432,1155.432,1155.432,1066.895,939.796,894.65,870.749,853.189,842.325,828.323,787.093,742.099,701.112,668.209,642.001,621.368,602.858,585.691,566.707,544.551,521.22,497.032,473.861,453.454,435.879,421.928,410.045,400.221,390.93,381.423,370.214,357.297,343.378,327.679,311.603,296.537,282.413,269.897,258.939,250.224,244.441,236.503,229.282,222.76,215.479,208.152,200.053,191.181,181.539,171.138,160.705,150.252,140.504,131.466
KPF|26,KPF,26,2225.333,2225.333,1939.112,1581.784,1250.616,1162.685,1162.685,1162.685,1162.685,1162.685,1162.685,1162.685,1137.437,961.545,837.031,808.543,804.637,804.637,804.637,801.752,768.666,729.585,692.738,662.697,638.496,619.297,601.835,585.443,567.036,545.303,522.276,498.299,475.273,454.967,437.463,423.566,411.723,401.93,392.66,383.161,371.943,359.001,345.044,329.293,313.159,298.034,283.852,271.284,260.28,251.528,245.722,237.748,230.493,223.94,216.624,209.26,201.12,192.201,182.509,172.052,161.564,151.055,141.255,132.167
KPF|27,KPF,27,2225.338,2225.338,1939.207,1582.001,1250.994,1146.359,1146.359,1146.359,1146.359,1146.359,1146.359,1135.331,1041.008,900.668,799.919,794.269,794.269,794.269,794.269,794.269,769.094,731.142,694.956,665.305,641.331,622.263,604.863,588.485,570.044,548.233,525.103,501.005,477.854,457.432,439.824,425.84,413.921,404.06,394.725,385.161,373.868,360.843,346.8,330.954,314.724,299.51,285.246,272.604,261.536,252.731,246.887,238.865,231.567,224.975,217.616,210.211,202.026,193.06,183.318,172.809,162.269,151.709,141.861,132.73
KPF|28,KPF,28,2225.422,2225.422,1939.606,1582.449,1251.711,1135.56,1135.56,1135.56,1135.56,1106.862,1089.624,1087.236,1013.097,887.383,795.712,795.712,795.712,795.712,795.712,795.712,772.688,734.683,698.378,668.595,644.494,625.309,607.792,591.298,572.731,550.779,527.502,503.258,479.968,459.423,441.708,427.635,415.637,405.71,396.312,386.685,375.325,362.229,348.112,332.189,315.882,300.597,286.267,273.568,262.448,253.601,247.726,239.668,232.336,225.713,218.322,210.885,202.666,193.665,183.887,173.339,162.762,152.165,142.283,133.121
KPF|29,KPF,29,2242.395,2242.395,1961.992,1618.029,1310.487,1147.534,1147.534,1147.534,1100.056,1073.165,1073.165,1073.165,1010.829,888.284,798.621,798.621,798.621,798.621,798.621,798.621,775.751,737.546,701.046,671.096,646.852,627.546,609.918,593.32,574.646,552.581,529.192,504.836,481.442,460.806,443.011,428.872,416.817,406.84,397.396,387.725,376.317,363.17,349.002,333.024,316.664,301.33,286.955,274.215,263.06,254.184,248.288,240.204,232.849,226.205,218.792,211.333,203.092,194.067,184.264,173.69,163.088,152.467,142.562,133.38
KPF|30,KPF,30,2308.021,2308.021,2093.251,1752.256,1392.141,1176.01,1176.01,1147.625,1076.75,1069.381,1069.381,1069.381,1013.092,890.848,801.004,801.004,801.004,801.004,801.004,801.004,777.883,739.517,702.868,672.792,648.443,629.049,611.341,594.67,575.922,553.778,530.312,505.88,482.416,461.718,443.87,429.687,417.593,407.583,398.108,388.406,376.967,363.786,349.584,333.57,317.175,301.808,287.403,274.637,263.459,254.564,248.654,240.553,233.182,226.525,219.097,211.625,203.368,194.328,184.509,173.918,163.299,152.662,142.743,133.547
MID|19,MID,19,3494.674,3449.973,3325.16,2862.987,2327.1,2122.393,2122.393,2122.393,2081.372,2039.09,2015.829,1997.081,1831.061,1570.778,1375.989,1328.503,1316.0,1306.83,1302.031,1288.761,1231.009,1166.165,1107.067,1060.55,1024.658,997.732,974.274,952.983,928.634,898.837,866.714,832.687,799.822,771.082,746.645,727.951,712.401,700.031,688.209,675.61,659.567,640.02,618.195,592.675,565.985,540.672,516.666,495.235,476.344,461.3,451.428,437.364,424.43,412.618,399.247,385.657,370.52,353.858,335.701,316.089,296.393,276.651,258.213,241.097
MID|20,MID,20,3502.145,3450.668,3323.919,2860.636,2324.823,2121.141,2121.141,2121.141,2079.708,2036.097,2011.011,1990.212,1822.813,1562.113,1367.11,1318.77,1305.269,1295.131,1289.378,1275.305,1217.341,1152.543,1093.61,1047.283,1011.615,984.953,961.86,941.04,917.318,888.313,857.084,824.021,792.139,764.354,740.839,723.02,708.32,696.771,685.754,673.939,658.656,639.826,618.661,593.731,567.558,542.693,519.071,497.973,479.371,464.59,454.977,441.099,428.322,416.642,403.354,389.812,374.677,357.97,339.723,319.977,300.123,280.201,261.581,244.285
