stable_player_id,player,pos,num_off,num_on,delta_scar,delta_pct,rank_off,rank_on,delta_rank,rho_num,rho_ratio,w
afl-player-v1-e77509535621c2f18fc4,Riley Onley,MID,439,439,0,0.0,401,409,8,,,0.0
afl-player-v1-93cd917e2b3a67c6c674,Jack Watkins,MID,0,0,0,0.0,804,804,0,-40.5,,0.0
afl-player-v1-6bdb2a468ec0c05a2248,Leon Kickett,GEN_FWD,367,367,0,0.0,447,452,5,,,0.0
afl-player-v1-28bb25f3b0444604b010,Ollie Greeves,MID,435,435,0,0.0,403,411,8,,,0.0
afl-player-v1-c9130ccf04e0cd0474b0,Nick Driscoll,MID,552,552,0,0.0,345,361,16,,,0.0
afl-player-v1-3fa9040b66b98c844502,Kalani White,KEY_FWD,291,291,0,0.0,500,503,3,,,0.0
afl-player-v1-c13e1f14b2b069c3f78f,Riley Hamilton,GEN_FWD,334,334,0,0.0,470,474,4,,,0.0
afl-player-v1-fc6ac46f92c3b7b16ed5,Noah Chamberlain,GEN_FWD,157,157,0,0.0,616,618,2,,,0.0
afl-player-v1-31584a51caeba8f403f7,Liam Hetherton,KEY_FWD,221,221,0,0.0,573,574,1,,,0.0
afl-player-v1-1d5af6c01ebcddc2cd54,Jai Saxena,GEN_FWD,229,229,0,0.0,563,564,1,,,0.0
afl-player-v1-18c64bc1a192b51aba1a,Ryda Luke,GEN_FWD,229,229,0,0.0,565,566,1,,,0.0
afl-player-v1-91f9428225d3cfc1cd51,Toby Whan,GEN_FWD,229,229,0,0.0,566,567,1,,,0.0
afl-player-v1-5da25d5d202bbfbd2a53,Jesse Mellor,MID,305,305,0,0.0,491,494,3,,,0.0
afl-player-v1-4af5ff1d6c0a57d3f39a,Tom Blamires,GEN_DEF,82,82,0,0.0,691,691,0,-10.0,,0.0
afl-player-v1-441ecf4754260c89227e,Thomas Burton,GEN_FWD,334,334,0,0.0,471,475,4,-31.5,,0.0
afl-player-v1-0006090cd55e28d1a258,Paddy Cross,GEN_FWD,60,60,0,0.0,714,714,0,-19.0,,0.0
afl-player-v1-01667c9cd5c02dca5a97,Will Lewis,KEY_FWD,10,10,0,0.0,796,796,0,-20.0,,0.0
afl-player-v1-1717ec616a9d2f0c642e,Balyn O'Brien,GEN_DEF,277,277,0,0.0,515,517,2,,,0.0
