player,afl_club,pos,rank_r21,rank_r22,rank_change,value_r21,value_r22,delta,pct,key
Darcy Jones,GWS,SF,185,186,-1,1321,1288,-33,-2.498,darcy-jones
Darcy Wilson,St Kilda,SF,57,58,-1,3293,3260,-33,-1.002,darcy-wilson
James Jordon,Sydney,SF,566,515,51,145,178,33,22.759,james-jordon
Massimo D'Ambrosio,Hawthorn,MID,157,155,2,1550,1583,33,2.129,massimo-d-ambrosio
Taj Hotton,Richmond,SF,99,95,4,2263,2296,33,1.458,taj-hotton
Tom Brown,Richmond,SD,351,339,12,492,525,33,6.707,tom-brown
Xavier Lindsay,Melbourne,SD,119,112,7,2059,2092,33,1.603,xavier-lindsay
Cameron Zurhaar,North Melbourne,SF,632,591,41,94,126,32,34.043,cameron-zurhaar
Clayton Oliver,GWS,MID,89,90,-1,2398,2366,-32,-1.334,clayton-oliver
Jack Whitlock,Port Adelaide,KPF,196,189,7,1233,1265,32,2.595,jack-whitlock
Jai Newcombe,Hawthorn,MID,20,18,2,4922,4954,32,0.65,jai-newcombe
Talor Byrne,Carlton,SF,244,238,6,923,955,32,3.467,talor-byrne
Thomas Stewart,Geelong,SD,215,211,4,1085,1117,32,2.949,thomas-stewart
Bo Allan,West Coast,SD,213,207,6,1121,1152,31,2.765,bo-allan
Daniel Rioli,Gold Coast,SD,310,299,11,620,651,31,5.0,daniel-rioli
Hayden Young,Fremantle,MID,134,134,0,1815,1784,-31,-1.708,hayden-young
Leo Lombard,Gold Coast,SF,144,141,3,1677,1708,31,1.849,leo-lombard
Shai Bolton,Fremantle,SF,101,105,-4,2211,2180,-31,-1.402,shai-bolton
Alex Van Wyk,Port Adelaide,RUCK,473,444,29,235,265,30,12.766,alex-van-wyk
Ed Richards,Western Bulldogs,MID,38,38,0,3949,3979,30,0.76,ed-richards
Isaac Quaynor,Collingwood,SD,303,317,-14,634,604,-30,-4.732,isaac-quaynor
Judd McVee,Fremantle,SD,420,434,-14,309,279,-30,-9.709,judd-mcvee
Darcy Byrne-Jones,Port Adelaide,SF,285,292,-7,703,674,-29,-4.125,darcy-byrne-jones
Harrison Petty,Melbourne,KPF,514,492,22,181,210,29,16.022,harrison-petty
Jaxon Artemis,Essendon,SD,421,414,7,305,334,29,9.508,jaxon-artemis
Nick Vlastuin,Richmond,SD,702,645,57,55,84,29,52.727,nick-vlastuin
Ollie Greeves,Hawthorn,MID,320,333,-13,568,539,-29,-5.106,ollie-greeves
Thomas Sims,Richmond,KPF,219,217,2,1040,1069,29,2.788,thomas-sims
Tom Powell,North Melbourne,SF,106,109,-3,2160,2131,-29,-1.343,tom-powell
Zachary Merrett,Essendon,MID,73,73,0,2713,2742,29,1.069,zachary-merrett
Dante Visentini,Port Adelaide,KPF,192,184,8,1262,1290,28,2.219,dante-visentini
Dayne Zorko,Brisbane,SD,218,227,-9,1040,1012,-28,-2.692,dayne-zorko
Harry McKay,Carlton,KPF,128,131,-3,1859,1831,-28,-1.506,harry-mckay
Mitchito Owens,St Kilda,KPF,117,110,7,2071,2099,28,1.352,mitchito-owens
Brayden Cook,Adelaide,SF,268,265,3,766,793,27,3.525,brayden-cook
Hayden McLean,Sydney,KPF,463,485,-22,245,218,-27,-11.02,hayden-mclean
