stable_player_id,player,pos,num_off,num_on,delta_scar,delta_pct,rank_off,rank_on,delta_rank,rho_num,rho_ratio,w
afl-player-v1-0240af654fa3bcbf3f1e,Dylan Patterson,GEN_DEF,970,970,0,0.0,225,144,-81,,,0.0
afl-player-v1-a5b652e10f1562485b41,Daniel Annable,MID,2029,2029,0,0.0,105,41,-64,-40.1,,0.0
afl-player-v1-234a98bedf9e30668ee1,Sam Cumming,MID,2119,2119,0,0.0,95,38,-57,-18.8,,0.0
afl-player-v1-896343cd9a0c539cb6e0,Samuel Grlj,MID,2374,2374,0,0.0,82,26,-56,-20.3,,0.0
afl-player-v1-b80306d235d7edf322ad,Sullivan Robey,MID,2200,2200,0,0.0,86,34,-52,-21.3,,0.0
afl-player-v1-75c7189cf23a00883ccc,Jacob Farrow,GEN_DEF,2245,2245,0,0.0,85,32,-53,-7.3,,0.0
afl-player-v1-1f09c43ab0e1bffce94e,Xavier Taylor,GEN_DEF,937,937,0,0.0,231,151,-80,-36.3,,0.0
afl-player-v1-b742ee37ea9fdb64884a,Latrelle Pickett,GEN_FWD,580,580,0,0.0,329,259,-70,-34.1,,0.0
afl-player-v1-62148c46129794e49893,Dyson Sharp,MID,1647,1647,0,0.0,143,66,-77,-32.8,,0.0
afl-player-v1-582c17fa8f38599ba36e,Harry Kyle,GEN_DEF,923,923,0,0.0,236,155,-81,-29.6,,0.0
afl-player-v1-a73efb3e3e613ef91d32,Oskar Taylor,GEN_DEF,825,825,0,0.0,257,173,-84,,,0.0
afl-player-v1-c59fa0756ba5dab93e77,Lachy Dovaston,GEN_FWD,863,863,0,0.0,250,166,-84,-32.4,,0.0
afl-player-v1-225291ffe5be1a04069a,Jai Murray,MID,1174,1174,0,0.0,201,116,-85,-25.1,,0.0
afl-player-v1-3d6217d573e09fb1f436,Beau Addinsall,MID,1101,1101,0,0.0,208,124,-84,,,0.0
afl-player-v1-527601186c70f68adedc,Josh Lindsay,GEN_DEF,2360,2360,0,0.0,83,27,-56,-4.0,,0.0
afl-player-v1-cd052426fa39db3f0120,Cameron Nairn,GEN_FWD,797,797,0,0.0,263,178,-85,-30.2,,0.0
afl-player-v1-b2ae5922a33d3679421d,Lachlan Carmichael,GEN_DEF,635,635,0,0.0,309,233,-76,,,0.0
afl-player-v1-4d39af42b1b14e098249,Mitchell Marsh,KEY_FWD,697,697,0,0.0,294,216,-78,,,0.0
afl-player-v1-1bb3cfdf101d072c0ae7,Aidan Schubert,KEY_FWD,691,691,0,0.0,295,218,-77,,,0.0
afl-player-v1-14d8cbd7324c66aac70c,Harley Barker,MID,736,736,0,0.0,282,198,-84,,,0.0
afl-player-v1-963c8126427fc70e52df,Adam Sweid,GEN_FWD,642,642,0,0.0,304,227,-77,,,0.0
afl-player-v1-df6adfebbf5e3baac9a4,Blake Thredgold,KEY_DEF,541,541,0,0.0,352,281,-71,,,0.0
afl-player-v1-95fa45c52eff59104176,Louis Emmett,RUC,779,779,0,0.0,269,188,-81,-45.7,,0.0
afl-player-v1-4a22ace5803958977c40,Avery Thomas,GEN_DEF,553,553,0,0.0,344,274,-70,,,0.0
afl-player-v1-5aad4aa1e2445dd70350,Sam Allen,MID,813,813,0,0.0,259,174,-85,,,0.0
afl-player-v1-53f60d044b28fa287bb8,Thomas Matthews,GEN_FWD,583,583,0,0.0,328,258,-70,,,0.0
